"Tür"	"Künye"	"Sol"	"-5;5"	"Sağ"
"s"	"S-BEABXO-0083-62"	"mı yaa? Oynayalım. Portekiz'de Porto"	"olur,"	"İspanya'da kim olur? İtalya'da Juventus"
"s"	"S-BEABXO-0448-2412"	"mı sıkıntı çıkıyo? Tam tersi"	"olunca"	"bi şey olmuyo? Evet. Hı-hıı."
"s"	"S-BEABXw-0397-1376"	"mı oluyor yoksa taraflı mı"	"oluyor?"	"Hakemine göre değişiyo yaa! Hmm."
"s"	"S-AEABPZ-0331-809"	"mı bilmiyorum. Ama belediye başkanı"	"olarak"	"sıkıntı çektiğimiz konulardan bi tanesi."
"s"	"S-BEABXg-0070-183"	"müşteri azalıyor, gece gösterisi falan"	"olmuyor"	"çalışmaya çok zaman olurdu. Çok"
"s"	"S-ACABPZ-0329-2428"	"müzisyen adaylarımızın daha ileri görüşlü"	"olmalarını,"	"enstrümanlarıyla yaşamlarında daha birlikte yaşamalarını"
"s"	"S-ADAB^o-0132-310"	"müzelerde bulunan kendi dönemiyle ilgili"	"olan"	"eserleri yayına geçiriyor. Ve bu"
"s"	"S-ADBBAo-0443-794"	"mümkün değil olamaz dedim. Nasıl"	"olur"	"benim eşyalarım yok dedim. Ben"
"w"	"W-GD05A2A-0427-50"	"mümkün bir sonuç ile bağlantılı"	"olarak"	"meydana getirilen teknik ilerleme biçiminde"
"s"	"S-ADAASK-0036-1264"	"mühim. Cemaate gitmeyenin şahitliği kabul"	"olunmuyor."	"Hani cenazelere geliyor ya millet"
"w"	"W-VE05A1A-2601-522"	"müdürüdür. Komün kanunu hiç yeri"	"olmadığı"	"halde ilk önce Dersim'de tatbik"
"s"	"S-AEABPZ-0331-2178"	"mücbir sebeplerle 70 kilometre'ye kadar"	"olan"	"ilk kademe ilçe, il veya"
"w"	"W-QD36C0A-0222-2321"	"mücadele vermekten geçer. ""Denizi sonsuz"	"olanları"	"düşün artık, Bir gün beni"
"s"	"S-BEABXO-0440-1678"	"mü oldu yoksa çaresiz mi"	"oldu?"	"Ya oğlum o artık işin"
"s"	"S-ADBBAo-0443-2357"	"mutsuzluklar yaşamış. Bu bir anne"	"olarak"	"sizi nasıl etkiledi. O üzgün"
"w"	"W-SI22E1B-2912-1676"	"mutlu öyle mutluydum ki; neler"	"olduğunu"	"bir an için anlayamamıştım. Bulutlar"
"w"	"W-MB04A1B-4130-1948"	"mutant mtDNA oranlan bakımından farklı"	"olabilmektedir."	"Bu nedenle çocukları mtDNA içerikleri"
"s"	"S-BEABXO-0140-2294"	"musunuz? Yok, biz oynamıyoruz büyük"	"olduğumuz"	"için. Canınız isterse oynuyosunuz değil"
"s"	"S-BEABXO-0092-2051"	"musun? Yok. İçmicem. Ee nasıl"	"olacak?"	"Hadi sen bi kahve yap."
"w"	"W-VG37E1B-3050-752"	"muhtemel medeniyetler arası çatışmalara hamile"	"olduğunu"	"savunanların fikirlerini daha baştan çürütecek,"
"w"	"W-EF05A1B-4377-2288"	"muhasebelerini tuttukları kuruluşların hizmet erbabı"	"olarak"	"göstermiş, büyük bir kısmı ise"
"w"	"W-PD36E1B-2858-809"	"muhalefet taşıdığını gösterdi. Bunun neticesi"	"olarak"	"asli vasfının her şeyi göreceleştirme"
"s"	"S-ADAASK-0036-2199"	"muhalefet edersin. Allah'a iftira atmış"	"olursun."	"Allah'a kafa tutmuş olursun. Var"
"w"	"W-RH03A3A-1383-147"	"muhafazası altına almasının en iyisi"	"olacağını"""	"hatırlatacaktır. Sorun, bu terimlerle sunulmuş"
"w"	"W-ID02A1B-3829-1184"	"mufassal, nerede mücmel, nerede müekked"	"olarak"	"kullanılması gerektiği üzerinde çok durulmuştur."
"w"	"W-CG22C2A-0424-1659"	"muayyen bir hisse ayrılması"" zorunlu"	"olmaktadır."	"Bakanlık Edhem Bey'den taşıma ücretlerinin"
"s"	"S-BEABXS-0111-1257"	"mu? Kız masraflı olur mu"	"olmaz"	"mı? yok o kadar da"
"s"	"S-ADBBAo-0443-1336"	"mu? Kesinlikle öyle bir şey"	"olmadı."	"Evet Ebru ile birlikteyken öyle"
"s"	"S-BEABXS-0111-1645"	"mu katılmıyon mu? Kız masraflı"	"olur"	"mu olmaz mı? yok o"
"s"	"S-BEABXw-0353-1839"	"mu diyor ki kendisinde hani"	"olsa"	"olur diyor 10'unan kendileri aldı."
"s"	"S-ADBBI^-0326-171"	"mu diye. Yapılmıyorsa pek iyi"	"olmaz"	"kendisi için. Bunları eğer geçimsizlik"
"w"	"W-VC40E1B-2881-1446"	"motorunda biraz sörf yapmaları yeterli"	"oluyor."	"Ve sonuçta karşılarına ""winner"" gibi"
"w"	"W-II09C3A-0600-861"	"moralle binişim, Alma-Ata'da beni karşılayacak"	"olanlarla"	"buluşamayışımız, yanımda 55 kilo yükle"
"w"	"W-HA16B1A-1341-140"	"Moody Blues'a gitmekteydim, hamsterlerim de"	"olacaktı,"	"elma büyüyecekti, İremin kapısına hamil"
"s"	"S-ADABI\-0438-927"	"Molfix in böyle bir teklifi"	"olması"	"nasıl sizce? Güzel evet çok"
"s"	"S-BEABXO-0416-1506"	"molası veriyorlar. Hıı anladım. Tam"	"olarak"	"normalde yarım saat. Ama bizim"
"s"	"S-ADABPZ-0134-1050"	"Modernizmin çok eski dönemlerde geçmiş"	"olabilir."	"Evet. Ben çok kısaca. Yalnız"
"s"	"S-ADABPZ-0134-2145"	"modernizmin bazı tıkanmışlıklarını bir modernist"	"olarak"	"eleştirmiştir. Postmodernler onun için bir"
"w"	"W-JA16B4A-0146-1382"	"moda olduğu üzere erkeklere reaksiyon"	"olarak"	"lezbiyen yaşamak gibi... Ama o"
"s"	"S-BEABXO-0147-587"	"miyiz? Tamam. Kenarları elliye yetmiş"	"olan"	"dikdörtgen şeklindeki bi bahçenin etrafına"
"w"	"W-GA16B4A-0044-247"	"miydi? Ya da kahvede jandarmalar"	"olurmuş,"	"insanlar o gün birkaç genci"
"s"	"S-BEABXJ-0076-1083"	"misin öyle? Bol olmaz bol"	"olsa"	"kilolu gösterir böyle tam oturcaak"
"s"	"S-BEABXw-0353-1860"	"milyon zühürlerim. Ne olur ne"	"olmaz"	"hesabını yaparaktan diğerini de çıkartırım"
"w"	"W-SI27D1B-2465-1380"	"milyon 500 bin kişi okuryazar"	"oldu."	"300'e yakın yeni klinik ve"
"s"	"S-ADABCo-0245-1296"	"milyarderi sayısında düşüş yaşanmasına neden"	"oldu."	"Listede ilk sırayı geçen yıl"
"s"	"S-ADABPZ-0134-906"	"milliyetçilikten, tarikatçılıktan ve benden dönemi"	"olmuştur."	"Bir başka çelişki hatta paradoksta"
"w"	"W-LE05A2A-1115-910"	"Milli Mücadelesi'ni siyasal ve askeri"	"olarak"	"toparlamaya başladığı 19 Mayıs 1919"
"s"	"S-ACAAQq-0419-1672"	"milletle beraber yürütecek bir kurum"	"olarak"	"Türkiye Büyük Millet Meclisini oluşturma"
"w"	"W-NG24D1B-2299-1730"	"millete söz vererek seçilen siyasetçinin"	"olmalıdır."	"Siyasi bir sorumluluğa dışarıdan birinin"
"s"	"S-ADABAo-0355-1223"	"millet olma vasfının da yok"	"olmasını"	"istiyo. Avrupa'nın askerliği Niye böle"
"w"	"W-FC01A2A-1511-1738"	"mikrovasküler tromboz ile ölüme neden"	"olabilir."	"H.infiuenza menenjiti olan hastaların 1/2'sinde"
"s"	"S-BEABXO-0083-473"	"mi? Piçler yaa!. Ee! ne"	"olacak"	"bu durum? Haa? Bi Dakka"
"s"	"S-BEABIs-0015-375"	"mi? Böyle bir hukuk anlayışı"	"olabilir"	"mi? Yani az önce de"
"s"	"S-BEABXO-0389-362"	"mi çektin? Ne kadar mutlu"	"oldum"	"var ya ihtimaller arttı. Şunu"
"s"	"S-BEABXw-0405-1863"	"mi içinde? Kontörler? Yok, numaralar"	"olmaz."	"Kontör olur. Lan numara da"
"s"	"S-BEABXw-0405-1575"	"mi almış artık, anlamadım tam"	"olarak."	"Sonra amcası aradı bi daha."
"s"	"S-ADABPZ-0119-970"	"meşhur <B> emm <B> nasip"	"oluyor."	"Bu müthiş bir adam. Fransızların"
"s"	"S-ADABPZ-0134-1299"	"meşgul etmiş olan bir saptama"	"olarak"	"kalmıştır. Şöyle ee düşünebiliriz; tümelle"
"w"	"W-GH03A1B-3106-1062"	"mezhep işini halletmeye katiyen yetkisi"	"olmadığını"""	"söylüyordu. Yorgi Honeus Efendi (Selanik),"
"s"	"S-ACABTZ-0336-622"	"meydana çağırıyoruz. 3 Kasım'da birlik"	"olalım."	"Buna <B>. Teşekkür ederim. <Alkış>"
"w"	"W-VD02A1A-2714-2479"	"meydana gelen yangınlar, depreme bağlı"	"olarak"	"meydana gelen kaymalar ve depreme"
"w"	"W-GH03A1B-2385-2245"	"meydana geldiğine ve mantıklıhğın nasıl"	"olması"	"gerektiğine değinmek, din mantığının konusudur."
"w"	"W-RG03A1B-3269-39"	"meydan hem de heykel vurgulanmış"	"oluyordu."	"Bu ilke günümüz kentlerinde de"
"w"	"W-KA16B1A-0722-577"	"Mevlâm, nice murad etmişse öyle"	"olacaktır."	"Biz, zât-ı devletinizin ricasını emir"
"w"	"W-LI35C4A-0464-1701"	"mevkilere geldiler, milletvekili ve bakan"	"oldular."	"Hattâ iki İçişleri Bakanımız da"
"w"	"W-RE05A1B-4267-100"	"Mevcut taşınır malların arasında bozulabilir"	"olanlarının"	"bir heyet tarafından açık artırma"
"s"	"S-ACABTZ-0336-73"	"Mevcut kaynaklarımız enerji kaynaklarımızın yeterli"	"olduğu"	"emm söylüyoruz. Bunu en azından"
"s"	"S-ADABAo-0388-400"	"metni yine saraya bir rapor"	"olarak"	"hazırladığından bahsetmiştik. Geçen hafta bu"
"w"	"W-SD02A1B-4596-46"	"metinsel eylemlere yönelik düzenlemelerin var"	"olup"	"olmadığını da denetlemesine yol açar."
"w"	"W-UI45F1D-4705-9"	"metamorfoz geçirirler? Dini kimliği milli"	"olanın"	"önüne geçirmeye hizmet etmenin vicdani"
"s"	"S-BEABXO-0358-628"	"mesleği yapıyor, yine resepsiyonist. Emin"	"ol,"	"akademik başarıyla işteki başarının birbiriyle"
"w"	"W-ME39E1B-3032-763"	"Meselâ orada gölge ve ağaç"	"olsa,"	"ağacın gölgesinin uzayıp kısalmasına göre"
"s"	"S-ADBBI^-0042-124"	"Mesela... Bu kuruluşun çok etkili"	"olduğunu"	"söyleyemem, fakat belli bir ağırlığı,"
"s"	"S-BEABXL-0338-44"	"mesela. İşte onu. Ana merkezlerinden"	"olmasından"	"yanayım. Ben yani ben onu"
"s"	"S-ADABAo-0366-1128"	"Mesela o zamana kadar egemen"	"olan"	"ya da resmi dili yani"
"s"	"S-BEABXg-0088-2192"	"Mesela bunun baya bir yararı"	"olabilir"	"gibisinden düşünüyom mesela erken... Açık"
"w"	"W-HH42C2A-0709-1769"	"mescidinde. Makamat'ın yazarının çelimsiz biri"	"olduğunu"	"bir türlü kabul edemeyen adam,"
"w"	"W-TI09C4A-0560-649"	"Merve geleceklerdi. Esra daha küçük"	"olduğu"	"ve bizim de hep beraber"
"s"	"S-AEABPZ-0331-179"	"Mersin'de güzel yapılan şeyler haber"	"olmuyor."	"Ama iki kişi birbirine sandalyeyi"
"s"	"S-ACAAPZ-0032-546"	"Mersin ticaret ve Sanayi odası"	"olarak"	"Mersin'in genel ekonomik hayatından bahsederken"
"s"	"S-ACAAPZ-0032-2375"	"Mersin kampüsü kadar belki büyük"	"olacak"	"ikinci bir üniversite kampüsüdür. Uğur"
"w"	"W-OF05A2A-1349-1922"	"Merkeziyetçilik ve bunun doğal sonucu"	"olarak"	"aşırı bürokratik engeller, 2. Bazı"
"w"	"W-QF10A1A-1883-931"	"merkeziyeti"" ya da ""ücret koordinasyonu"""	"olarak"	"adlandırılan olgu çerçevesinde Türkiye'deki durum"
"s"	"S-ADABDp-0432-1965"	"merak eden? Çevresinde bu rahatsızlığı"	"olan"	"kişiler tanıdıklarınız var mı? Böyle"
"s"	"S-BEABX\-0065-1135"	"menet de almadım. Senet almış"	"olsaydım"	"önceden bu işi bu kadar"
"s"	"S-BEABXO-0392-1353"	"Memo Memo. Acep gerçekten ölmüş"	"olmaya."	"<Bağırarak> Maçir! <B> bak bak"
"s"	"S-ADABAo-0307-1696"	"Memnuniyetle. Bu konuyu konuşalım sözümüz"	"olsun."	"İnşallah. Teşekkür ediyoruz. Biz teşşekkür"
"s"	"S-ACABQq-0422-1786"	"memnuniyetle karşıladığımızı; fakat bunun yeterli"	"olmadığını,"	"bunun daha da çok artırılması"
"s"	"S-ADABAo-0388-922"	"Mehdi zamanında Karluk yabgusu Karluk yabgusu Müslüman"	"olmuştur."	"Müslümanlık daha önce Türkler arasında"
"s"	"S-ACAAQq-0419-1051"	"Meclisimiz taşıyacaktır. Üç kez Başkanı"	"olma"	"onurunu taşıdığım bu kutsal kuruluş,"
"s"	"S-ACABQq-0429-609"	"Meclisi, şu arkamızda yazan yazıda"	"olduğu"	"gibi, kayıtsız şartsız, egemenliğin tek"
"w"	"W-UC29D1B-2445-1777"	"MB boyutunda bir ZIP dosyası"	"olarak"	"dağıtılan SDK paketi içerisinde bu"
"w"	"W-CE05A1B-3387-557"	"Mağdurun rızayı açıklamak ehliyetine sahip"	"olması,"	"suç İşlenmiş olsa idi zarar"
"w"	"W-VI31D1B-2357-442"	"maçta takımın gol yemesine sebep"	"olan"	"oyuncuları cezalandıracağını söyleyen Koch, bir"
"s"	"S-BEABXO-0083-590"	"maça vazgeçtim. Karşılıklı gol var"	"olur."	"Mantıklı. Tuttur.com var biliyon mu?"
"s"	"S-BEABXO-0452-182"	"maç oluyo, bi gün Ezel"	"oluyo"	"<gülerek>. <gülme> Hıı. Bi gün"
"s"	"S-ADAASK-0036-98"	"mazlumun yanındayım, ne pahasına olursa"	"olsun."	"Şimdi Filistin'de mazlumlar var mı?"
"w"	"W-IE39C0A-1693-747"	"mayınlar. Kontrolü denetlenmesi daha güç"	"olan"	"yolları kısa sürelerle keserek, araçlardan"
"s"	"S-BEABXO-0140-1647"	"Maya işkence. Maya işkence nasıl"	"oluyo?"	"Emm... Bak tuz döküyosun, karıştırıyosun"
"w"	"W-EC06A3A-1964-1462"	"matrisi göstermektedir. İlerdeki bölümlerde, bilinmiyen"	"olarak"	"seçilmiş olan x katsayılar matrisinin"
"w"	"W-VI27D1B-2809-235"	"masrafları düşünüldüğünde ekonomik olarak rasyonel"	"olmayabilir"	"ancak büyük kentlerimizin aksine toplu"
"s"	"S-AEABTZ-0040-2292"	"mantıksız bir yaklaşım. Çünkü nedir"	"olan?"	"Şimdi karbondioksit salınımıyla ilgili tabi"
"s"	"S-ADAACo-0205-2415"	"manevi şahsına yapılmış bir hakaret"	"olarak"	"görüyor musunuz diye sordu bir"
"w"	"W-HE05A1B-3524-2194"	"manevi tazminata hükmedilmesinin adalet gereği"	"olduğu"	"kadar, toplumun temeli olan ailenin"
"w"	"W-EF10A3A-1831-1508"	"mamullerin vadeli yapılan satışları karşılıkları"	"olan"	"para tesislere ancak bir yıllık"
"w"	"W-CA16B3A-1557-1338"	"Mamak Cezaevi, siyasi tutukluları almaz"	"olunca"	"kadınları, kentin içindeki bu yapıya"
"w"	"W-NH32D1B-2750-271"	"maluldür' diye düşünüyor olmalı. Öyle"	"olup"	"olmadığını göreceğiz. Ama demokrasi işleyecekse,"
"w"	"W-QF05A1B-4669-1933"	"mallarının karşısına tehlikeli bir rakip"	"olarak"	"dikilmiştir. Öyle ki batı, doğu"
"w"	"W-NI22C2A-0698-388"	"maliyetinin iki misli daha pahalı"	"olacağını"	"ileri sürdü.Dr. Yılmazer, taşımacılıktan örnekler"
"w"	"W-PF10A2A-1852-1207"	"Maliye Bakanlığı içinde en yetkin"	"oldukları"	"yerlerde konumlandıran, politika sonuçlarını düzenli"
"s"	"S-BEABXO-0390-299"	"Malatya'nın mülakatı yoktu galiba. Olmaz"	"olur"	"mu ya? Hayır ya Malatya'nın"
"s"	"S-ACAAQq-0424-1755"	"mal da, aynı yukarıdaki örnekte"	"olduğu"	"gibi, ülke içine tamamen gümrüksüz"
"w"	"W-TE36E1B-3354-321"	"makul, daha tatlı, daha rehavetli"	"olmasından"	"yanayım. Hızlı yenilen yemeklerin mideye"
"w"	"W-UF10C4A-1193-47"	"Mail"" diye geçerken, mekan ""dükkan"""	"olunca"	"Türkçe çok gariban kalıyor da"
"s"	"S-ACABQq-0426-2452"	"mahkûmlarla içmeyen mahkûmların durumu ne"	"olacaktır?"	"Bunlarda sigara içme özgürlüğünün bir"
"w"	"W-UE30D1B-2112-1594"	"Mahkeme, kararın gerekçesinde ""Amacı ne"	"olursa"	"olsun hiçbir kuruma demokratik bir"
"w"	"W-MF25D1B-2156-2353"	"mahalli piyasa için ""ayak oyunu"""	"olabileceğini,"	"ancak bu konunun yabancılara anlatılamayacağını"
"w"	"W-IC01C4A-0663-2215"	"maden suyunda bol miktarda tuz"	"olduğu"	"unutulmamalıdır. Çay, kahve, ıhlamur, adaçayı,"
"s"	"S-ADAASK-0036-484"	"maddi menfaati var. Bünyesi sağlam"	"oluyor,"	"sağlıklı oluyor, sıhhatli oluyor. Temiz"
"w"	"W-RI37C3A-0718-2492"	"maddi hayatlarımızdan vazgeçmeden üstüne promosyon"	"olarak"	"bir de mutluluk istiyoruz. Haddimizi"
"w"	"W-UG24D1B-2293-818"	"maddelerinden; 14 bini 163. maddeden"	"olmak"	"üzere 85 bin kişi düşüncelerinden"
"w"	"W-LC06A2A-1976-2156"	"maddelerin betona zarar verecek oranda"	"olup"	"olmadığı konusunda laboratuarca karara varılır."
"w"	"W-SE30D1B-2110-248"	"maaş aldığını ve servetinin ""sıfır"""	"olduğunu"	"söyleyen Castro'nun ""Servetim, Bush'un gömlek"
"s"	"S-BEABXS-0111-2138"	"M Öyle yani. Sen başarılı"	"olursan,"	"misal diyorum, yani afedersin,gocan afedersin,gocan"
"s"	"S-ADBBAo-0443-369"	"lütfusun' şarkısını kaçamak bakışlarla da"	"olsa"	"aşkı Mehmet Aşkın'ın gözlerine söyledi"
"s"	"S-ADAB]o-0110-2102"	"Londra'da gösterici ölümüyle neticelenen olaylar"	"oldu"	"yakın geçmişte. Ama aa! açıkçası"
"w"	"W-II09C3A-1943-1041"	"liseyi bitirip bir meslek sahibi"	"olmaktı."	"1938 yazı yengem tüm aileyi"
"w"	"W-CC05A1A-1796-1581"	"liselerde 140 bin öğrenci artışı"	"olmasına"	"rağmen, ödenekle reel artış olmamış;"
"s"	"S-BEABXs-0130-148"	"Lise üçte bi seksen iki"	"oldum."	"10 santim. 12 santim. 12"
"s"	"S-BEABXs-0130-41"	"Lise dörtte bi doksan dört"	"oldum."	"Lise bittiğinde bi doksan dörttüm"
"s"	"S-BEABXO-0390-185"	"Lisansta bile yok yaa. Lisansta"	"olması"	"lazım işte esasında. Ya bunlar"
"s"	"S-ADBBI^-0326-611"	"liraya bir kazak almak büyük"	"olaydı."	"Maaşım da 450 lira. Günlerimi"
"w"	"W-VA16B1A-2632-1607"	"lira bile olsa; almam, haksızlık"	"olur."	"Adaletsizliktir, seni kandırmadır, dedim. Adamın"
"s"	"S-ADABCo-0242-2184"	"ligte olsun özellikle ikinci ligte"	"olsun"	"ordaki futbolcuları fazla da suçlamak"
"s"	"S-BEABXO-0056-1253"	"lekeler var tabii. Lekeler önceden"	"oldu"	"geçmedi bak. Geçmiycek mi o?"
"s"	"S-BEABXO-0441-1475"	"lazım. Öyle görmek biraz zor"	"oluyor"	"ya. Çünkü birader herkesin herkesin"
"s"	"S-AAABXN-0004-1937"	"lazım. Ya saat sekiz buçuk"	"olmuş."	"Ya ara ara ya bişey"
"s"	"S-BEABXg-0070-1695"	"lazım. Ya oralarda tanıdığımız falan"	"olsa"	"aslında iyi olursa pek fazla"
"w"	"W-MC06A3A-0770-482"	"lazım. Fazla büyük bir deprem"	"olmayacak."	"6.8 civarında olacağını tahmin ediyoruz."
"s"	"S-ADABCo-0242-1026"	"lazım yani timsahların orda nerde"	"olduğunu"	"en iyi sinekler bilir. Sineklere"
"s"	"S-ADABPZ-0135-232"	"Latince habitale sahip ol Sahip"	"ol"	"Yani habital emm <B> anlamında"
"s"	"S-BEABXO-0060-1290"	"lan bitir artık diyom, gol"	"oluyo"	"ondan sonra bitiyo. Yiyo benim"
"w"	"W-SD30D1B-2230-2126"	"laik düzene yönelik kalkışmanın delili"	"olarak"	"gösterilen iki ibare Birincisinde biri"
"s"	"S-BEABXO-0392-1932"	"la lan lan! La sakin"	"ol"	"la. Lan geliyor geliyor var"
"w"	"W-UI27D1B-2467-165"	"la Garenne, sonra yetiştirme yurdu"	"oldu."	"1986'da kapanıp büyük onarımdan geçirilen"
"w"	"W-DB04A1B-3859-969"	"L= ligand, G= konuk molekül)"	"olan"	"Hofmann benzeri klatratlar elde edilmiştir."
"s"	"S-BEABXg-0088-2359"	"kışın karda araba gitmez, bişey"	"olmaz."	"Bırakırım direkt ya öyle bişeyde"
"s"	"S-BEABXO-0068-883"	"kış yağmaz orlara. Çok sıcak"	"olur"	"ama oralar. Emme diyor yağmur"
"s"	"S-BEABXO-0344-2176"	"kızıyorum diyorum hayır üç çocuk"	"olmaz"	"aman tek çocuk olmaz. <gülerek>"
"w"	"W-VA14B1A-3373-1272"	"kızı, resim öğretmeni Suzan Hanım"	"oluyorsunuz."	"SUZAN Baba, neler oluyor böyle?"
"w"	"W-OD03A4A-0253-1675"	"Kızı Seviyor mu? Delikanlı âşık"	"olduğunun"	"farkında. Nasıl mı? Siz susuzluğunuzun,"
"s"	"S-BEABXO-0160-757"	"kızı hıı tamam bildim. Nası"	"oluyor"	"burda ne oluyor şimdi, oluyor"
"w"	"W-IA16B2A-0996-1873"	"Kızlardan ona inanmamış gibi görünenler"	"olduysa"	"da, daha fazla deşelemediler. Çünkü"
"s"	"S-BEABXw-0408-523"	"kızlar. Kardeş biz… biz… Böyle"	"olcak,"	"şöyle olcak, nası olcak? Biz"
"w"	"W-RI09C3A-1072-894"	"kız çekip gitti ve adam"	"olduğu"	"yere yığıldı. Yardım etmek için"
"w"	"W-RA14B1A-1582-1092"	"kız benim için de gelmiş"	"olabilir"	"ama, ben daha çok Şako"
"w"	"W-SI22E1B-2912-287"	"kıvırıp bükebilir ki? Asıl güvende"	"olan"	"benim. Bir de kendine bak."
"s"	"S-ADAB^o-0131-2471"	"kısım sağ kanat sol kanat"	"olarak"	"birleşiyor. Alt kısımda çizme. Parmaklıkla"
"w"	"W-GA16B3A-0374-1750"	"kısalığına ve dolayısıyla daha masrafsız"	"olmasına"	"karşın trafiğiyle kendisini bunaltan bu"
"w"	"W-RD36C3A-0351-2107"	"Kısacası, büyük bir kulübün başkanı"	"olmak,"	"Türkiye'de her kapıyı açan bir"
"w"	"W-NF10E1B-2865-2476"	"Kısaca GPS (Global Positioning System)"	"olarak"	"bilinen global konumlandırma sistemini kullanarak"
"w"	"W-QA16B1A-1198-751"	"kırılmıyorsun ya evlat değil mi?"	"Olur"	"mu öyle şey Demirci Baba,"
"s"	"S-BEABXO-0440-1045"	"kırmızı, kırmızı hı-hı kırmızı hani"	"oldu."	"<B> <D 14> Ya aslında"
"w"	"W-DB04A1B-3854-2038"	"kıl veya tüyleri ile örtülmüş"	"olan"	"konukçuların yumurtalarını parazitleyemediklerini belirtmektedir. Lohga,"
"s"	"S-ADABII-0439-1349"	"küçükken at binmek istemiştim o"	"olursa"	"düşünebilirim belki yani zor bir"
"w"	"W-MC06A3A-0770-994"	"küçük."" Ve sonunda maalesef beklenen"	"oldu..."	"Ve 12 Kasım 1999'da Düzce'de"
"s"	"S-BEABXO-0345-1449"	"küçük kaldı ""l"" daha büyük"	"oldu"	"gibi. Soner sus. <gülerek> Yok"
"w"	"W-TI27D1B-2471-437"	"kültürünün yüzyıllardır birleşen kültürlerin karışımı"	"olduğunu"	"söyledi. Daha önce İstanbul'da bulunduğunu,"
"w"	"W-CG22C3A-0622-530"	"kültür çizgisinde demektir? Kimmiş gerici"	"olan"	"tiyatro yazarı? Labiche mi? Goldoni"
"s"	"S-ACAAPZ-0028-230"	"kültür ve sanat faaliyetleri de"	"oldukça"	"yaygın. Ve bu çalışmalar kapsamı"
"w"	"W-CC06A4A-1995-1388"	"kültür bitkisi, amphidiploidtir. Eskiden deneysel"	"olarak"	"allopoliploid elde edilmesi çok güç"
"w"	"W-TD02A4A-1401-350"	"küfürler savuruyorlardı. Otomobilin üzerinde tepinmeler"	"oluyordu."	"Tavan çökmiye başlamıştı. Bayanların da"
"w"	"W-RA16B4A-1265-1839"	"küfünü taşıyan sinema pırıl pırıl"	"oluveriyor,"	"bütün afişlerin şansı uçuyor, tüm"
"w"	"W-MD36C3A-0363-694"	"küfredip -küfretmek ibadet değildir- kızanlar"	"olsa"	"da gereken yapılmadı. Gereken yapılmadıkça"
"w"	"W-QD02A1B-4566-2306"	"köylerin ortaya çıkışının da habercisi"	"olacaktır."	"8. Şehirleşme süreci, Türkiye'nin toplam"
"s"	"S-ACABQq-0421-820"	"köylere ait olduğu raporla saptanmış"	"olan"	"orman içindeki düz arazilerin zeytin"
"s"	"S-ACABFZ-0049-495"	"kötü yola düştü."" Bu fıkrada"	"olduğu"	"gibi, silah sesi ama kimin"
"s"	"S-BEABXw-0409-2177"	"kötü olmuş. Yılmaz abiye kötü"	"oldu"	"tabi. Geçen yıl kaldı di"
"w"	"W-VI19E1A-4055-1471"	"Köse de başını sallamış ""Yokuş"	"olmasına"	"yokuş ama yarı yere kadar"
"w"	"W-RA16B1A-0153-2017"	"köklerini kazımaya kararlılar. Eğer vaktimiz"	"olsaydı"	"adamlarını bu haine öldürtürdüm ve"
"w"	"W-PE39C0A-0197-314"	"Kuşçubaşı, Almanların operasyonlarda direk müdahalesinin"	"olmadığını"	"anılarında aktarmaktadır. Ancak Enver Paşa"
"s"	"S-ACABPZ-0329-1415"	"kuşaklar arasında farklı tartışmalara sebep"	"oldu."	"Emm Stradivarius'un cilaları o kadar"
"s"	"S-ADABPZ-0119-1487"	"kuğular beyazdır dersiniz. Bunu kesin"	"olarak"	"bilemezsiniz. Çünkü bütün kuğuları saymamız"
"w"	"W-CI22C3A-1079-2206"	"Kuyruğa girmek, geleneksel bir uğraş"	"olmuş."	"Bizim hınzırlardan biri ""Burada sabır"
"w"	"W-CC06A1B-3439-1578"	"kutlanılan tüm ilaçların etkilerinin düşük"	"olduğu"	"belirlenmiştir. Zeren ve Yabaş, Mercimek"
"s"	"S-AEABUs-0037-474"	"Kustiritza dediği bizim Emir Kustirica"	"olarak"	"telaffuz ettiğimiz bu Dünyaca ünlü"
"w"	"W-UF10A2A-1868-1319"	"Kurumun özellikleri ve faaliyet göstermekte"	"olduğu"	"sektörler gibi değişkenler bu ihtiyaçlar"
"s"	"S-ADABPZ-0119-1158"	"kurumsallaşmasını ve ileriye doğru atılımlarını"	"oldukça"	"başarılı yapmış bir üniversiteyiz. Hiç"
"w"	"W-FG03A1B-3190-1378"	"kurumlardan biri olan ekonominin sanata"	"olan"	"etkisini ve toplumu oluşturan tüm"
"s"	"S-BEABIs-0015-872"	"kuruluş, bir de belediye kuruluşu"	"olduğu"	"için vatandaşa hizmet diye düşünüyor."
"w"	"W-JE05A2A-1906-840"	"kuruludur. Bu anayasal ilke ilk"	"olarak"	"1791 Fransız Anayasasında yer almıştır"
"w"	"W-QD30D1B-2202-125"	"Kurulu'nu gerektirecek bir durum olup"	"olmadığına"	"Genel Merkez'in karar vereceğini belirterek,"
"s"	"S-ACABPA-0434-556"	"kurulmuştur ve bu kuruluşun ciddi"	"olarak"	"ülke yönetiminde sıkıntı yarattığı görüşünü"
"w"	"W-EF10A3A-1838-1282"	"kurulması olağan karşılanabilir. Ancak olağan"	"olmayan,"	"yabancı sermayeli bir bankaya, kısmen"
